Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2016,M.Barkley,,CHI,1611,8,14,5,0,1,1,2,1,7,1618,9
2016,J.Howard,,CHI,0,0,0,1313,6,50,29,298,1,15,1611,7
2016,B.Hoyer,,CHI,1445,6,0,2,0,0,0,0,0,6,1447,6
2016,J.Cutler,,CHI,1059,4,5,24,0,0,0,0,0,5,1083,4
2016,C.Meredith,,CHI,2,1,0,6,0,97,66,888,4,14,896,5
2016,A.Jeffery,,CHI,0,0,0,0,0,94,52,821,2,12,821,2
2016,Z.Miller,,CHI,0,0,0,0,0,64,47,486,4,10,486,4
2016,E.Royal,,CHI,0,0,0,0,0,43,33,369,2,9,369,2
2016,J.Langford,,CHI,0,0,0,200,4,27,19,142,0,12,342,4
2016,J.Bellamy,,CHI,0,0,0,37,0,38,19,282,1,12,319,1
2016,D.Thompson,,CHI,0,0,0,0,0,36,22,249,2,9,249,2
2016,K.White,,CHI,0,0,0,9,0,36,19,187,0,4,196,0
2016,K.Carey,,CHI,0,0,0,126,0,7,5,55,0,11,181,0
2016,M.Wilson,,CHI,0,0,0,0,0,16,9,160,1,3,160,1
2016,D.Brown,,CHI,0,0,0,0,0,20,16,124,1,6,124,1
2016,B.Braunecker,,CHI,0,0,0,0,0,6,4,41,0,3,41,0
2016,D.Fales,,CHI,22,0,0,0,0,0,0,0,0,1,22,0
2016,L.Paulsen,,CHI,0,0,0,0,0,10,3,15,0,7,15,0
2016,B.Addison,,CHI,0,0,0,4,0,1,1,11,0,1,15,0
2016,P.Lasike,,CHI,0,0,0,8,0,1,1,3,0,4,11,0
2016,J.Bell,,CHI,0,0,0,6,0,0,0,0,0,1,6,0
2016,M.Pruitt,,CHI,0,0,0,0,0,1,1,6,0,1,6,0
2016,C.Prosinski,,CHI,0,0,0,2,0,0,0,0,0,1,2,0
2016,D.Braverman,,CHI,0,0,0,0,0,2,0,0,0,2,0,0
