Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2018,M.Trubisky,,CHI,3223,24,12,433,3,0,0,0,0,14,3656,27
2018,T.Cohen,,CHI,1,1,0,444,3,91,71,725,5,16,1170,9
2018,J.Howard,,CHI,0,0,0,935,9,27,20,145,0,16,1080,9
2018,A.Robinson II,,CHI,0,0,0,9,0,95,55,754,4,13,763,4
2018,T.Gabriel,,CHI,0,0,0,61,0,93,67,688,2,16,749,2
2018,T.Burton,,CHI,0,0,0,2,0,77,54,569,6,16,571,6
2018,C.Daniel,,CHI,515,3,2,9,0,1,1,8,0,2,532,3
2018,A.Miller,,CHI,8,0,0,26,0,54,33,423,7,14,457,7
2018,J.Bellamy,,CHI,0,0,0,0,0,26,14,117,1,13,117,1
2018,T.Mizzell,,CHI,0,0,0,16,0,10,8,78,1,8,94,1
2018,K.White,,CHI,0,0,0,0,0,8,4,92,0,3,92,0
2018,A.Shaheen,,CHI,0,0,0,0,0,7,5,48,1,4,48,1
2018,B.Braunecker,,CHI,0,0,0,0,0,5,3,42,0,5,42,0
2018,J.Wims,,CHI,0,0,0,0,0,5,4,32,0,2,32,0
2018,B.Cunningham,,CHI,0,0,0,20,0,2,1,9,0,5,29,0
2018,D.Sims,,CHI,0,0,0,0,0,4,2,9,0,2,9,0
2018,M.Burton,,CHI,0,0,0,0,0,1,1,6,0,1,6,0
2018,B.Sowell,,CHI,0,0,0,0,0,2,1,2,1,2,2,1
2018,A.Hicks,,CHI,0,0,0,1,1,0,0,0,0,1,1,1
2018,N.Kwiatkoski,,CHI,0,0,0,0,0,1,0,0,0,1,0,0
