Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2021,J.Fields,,CHI,1870,7,10,426,2,0,0,0,0,12,2296,9
2021,A.Dalton,,CHI,1515,8,9,82,0,0,0,0,0,8,1597,8
2021,D.Montgomery,,CHI,0,0,1,846,7,51,42,301,0,13,1147,7
2021,D.Mooney,,CHI,0,0,0,32,1,141,81,1055,4,17,1087,5
2021,C.Kmet,,CHI,0,0,0,0,0,93,60,612,0,17,612,0
2021,K.Herbert,,CHI,0,0,0,433,2,16,14,96,0,14,529,2
2021,A.Robinson,,CHI,0,0,0,0,0,67,38,410,1,12,410,1
2021,D.Byrd,,CHI,0,0,0,0,0,39,26,329,1,11,329,1
2021,M.Goodwin,,CHI,0,0,0,-1,0,40,20,313,1,14,312,1
2021,D.Williams,,CHI,0,0,0,164,2,23,16,103,1,10,267,3
2021,N.Foles,,CHI,250,1,0,9,0,0,0,0,0,1,259,1
2021,J.Grant,,CHI,0,0,0,33,0,15,9,139,2,5,172,2
2021,J.Graham,,CHI,0,0,0,0,0,24,14,167,3,11,167,3
2021,J.James,,CHI,0,0,0,0,0,8,7,62,1,4,62,1
2021,D.Newsome,,CHI,0,0,0,0,0,5,2,23,0,3,23,0
2021,J.Horsted,,CHI,0,0,0,0,0,3,2,21,2,3,21,2
2021,R.Nall,,CHI,0,0,0,4,0,1,1,4,0,2,8,0
2021,I.Coulter,,CHI,0,0,0,0,0,1,0,0,0,1,0,0
2021,R.Adams,,CHI,0,0,0,0,0,1,0,0,0,1,0,0
