Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2020,M.Trubisky,,CHI,2055,16,8,195,1,0,0,0,0,10,2250,17
2020,N.Foles,,CHI,1852,10,8,12,1,0,0,0,0,9,1864,11
2020,D.Montgomery,,CHI,0,0,0,1070,8,68,54,438,2,15,1508,10
2020,A.Robinson,,CHI,0,0,0,-1,0,151,102,1250,6,16,1249,6
2020,D.Mooney,,CHI,0,0,0,20,0,99,61,631,4,16,651,4
2020,A.Miller,,CHI,0,0,0,12,0,76,49,485,2,16,497,2
2020,J.Graham,,CHI,0,0,0,0,0,76,50,456,8,16,456,8
2020,C.Patterson,,CHI,0,0,0,232,1,25,21,132,0,15,364,1
2020,C.Kmet,,CHI,0,0,0,-3,0,45,28,243,2,14,240,2
2020,T.Cohen,,CHI,0,0,0,74,0,9,6,41,0,3,115,0
2020,R.Nall,,CHI,0,0,0,0,0,9,8,67,1,6,67,1
2020,J.Wims,,CHI,0,0,0,2,0,12,6,48,1,9,50,1
2020,D.Harris,,CHI,0,0,0,0,0,14,7,45,0,7,45,0
2020,T.Ginn,,CHI,0,0,0,0,0,6,3,40,0,3,40,0
2020,R.Ridley,,CHI,0,0,0,0,0,4,4,39,0,2,39,0
2020,A.Pierce,,CHI,0,0,0,34,1,0,0,0,0,3,34,1
2020,T.Bray,,CHI,18,0,0,0,0,0,0,0,0,1,18,0
2020,B.Mingo,,CHI,0,0,0,11,0,0,0,0,0,1,11,0
2020,L.Miller,,CHI,0,0,0,0,0,2,2,6,0,1,6,0
2020,B.Massie,,CHI,0,0,0,0,0,1,1,4,0,1,4,0
2020,J.Holtz,,CHI,0,0,0,0,0,1,0,0,0,1,0,0
