Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2022,J.Fields,,CHI,2242,17,11,1150,8,0,0,0,0,15,3392,25
2022,D.Montgomery,,CHI,0,0,0,801,5,40,34,316,1,16,1117,6
2022,K.Herbert,,CHI,0,0,0,731,4,12,9,57,1,13,788,5
2022,C.Kmet,,CHI,0,0,0,9,0,70,50,544,7,17,553,7
2022,D.Mooney,,CHI,0,0,0,2,0,62,40,493,2,11,495,2
2022,E.St. Brown,,CHI,0,0,0,54,0,38,21,314,1,16,368,1
2022,D.Pettis,,CHI,0,0,0,37,0,42,19,245,3,14,282,3
2022,V.Jones,,CHI,0,0,0,103,1,14,7,107,1,9,210,2
2022,T.Siemian,,CHI,184,1,1,9,0,0,0,0,0,2,193,1
2022,N.Peterman,,CHI,139,1,1,7,0,0,0,0,0,3,146,1
2022,C.Claypool,,CHI,0,0,0,4,0,29,14,140,0,7,144,0
2022,B.Pringle,,CHI,0,0,0,0,0,16,10,135,2,8,135,2
2022,N.Harry,,CHI,0,0,0,0,0,9,7,116,1,6,116,1
2022,D.Evans,,CHI,0,0,0,64,0,1,1,33,0,3,97,0
2022,T.Ebner,,CHI,0,0,0,54,0,8,2,8,0,7,62,0
2022,T.Boyle,,CHI,33,0,2,0,0,0,0,0,0,1,33,0
2022,T.Wesco,,CHI,0,0,0,0,0,5,2,26,0,4,26,0
2022,R.Griffin,,CHI,0,0,0,0,0,8,4,26,0,7,26,0
2022,I.Smith-Marsette,,CHI,0,0,0,-1,0,4,1,15,0,3,14,0
2022,N.Webster,,CHI,0,0,0,0,0,3,2,14,0,1,14,0
2022,J.Tonges,,CHI,0,0,0,0,0,1,0,0,0,1,0,0
2022,K.Blasingame,,CHI,0,0,0,0,0,1,0,0,0,1,0,0
