Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2017,M.Trubisky,,CHI,2193,7,7,255,2,0,0,0,0,12,2448,9
2017,Jo.Howard,,CHI,0,0,0,1122,9,32,23,125,0,16,1247,9
2017,M.Glennon,,CHI,833,4,5,4,0,0,0,0,0,4,837,4
2017,T.Cohen,,CHI,21,1,0,370,2,71,53,356,1,16,747,4
2017,K.Wright,,CHI,0,0,0,0,0,92,59,614,1,14,614,1
2017,J.Bellamy,,CHI,0,0,0,6,0,46,24,376,1,9,382,1
2017,D.Inman,,CHI,0,0,0,0,0,40,23,334,1,7,334,1
2017,B.Cunningham,,CHI,0,0,0,29,0,26,20,240,2,11,269,2
2017,Z.Miller,,CHI,0,0,0,0,0,35,20,236,2,8,236,2
2017,D.Sims,,CHI,0,0,0,0,0,29,15,180,1,12,180,1
2017,T.McBride,,CHI,0,0,0,0,0,15,8,144,0,5,144,0
2017,D.Brown,,CHI,0,0,0,0,0,20,13,129,0,8,129,0
2017,A.Shaheen,,CHI,0,0,0,0,0,14,12,127,3,6,127,3
2017,D.Thompson,,CHI,0,0,0,0,0,18,11,125,1,4,125,1
2017,M.Wheaton,,CHI,0,0,0,0,0,17,3,51,0,7,51,0
2017,P.O'Donnell,,CHI,38,1,0,0,0,0,0,0,0,1,38,1
2017,T.Gentry,,CHI,0,0,0,0,0,6,3,35,0,4,35,0
2017,M.Burton,,CHI,0,0,0,9,0,4,2,8,0,7,17,0
2017,K.White,,CHI,0,0,0,0,0,4,2,6,0,1,6,0
