Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2023,J.Fields,,CHI,2562,16,9,665,4,0,0,0,0,13,3227,20
2023,D.Moore,,CHI,0,0,0,21,1,138,96,1364,8,17,1385,9
2023,T.Bagent,,CHI,859,3,6,116,2,0,0,0,0,5,975,5
2023,K.Herbert,,CHI,0,0,0,611,2,31,20,134,1,12,745,3
2023,C.Kmet,,CHI,0,0,0,2,0,90,73,719,6,15,721,6
2023,R.Johnson,,CHI,0,0,0,352,2,40,34,209,0,15,561,2
2023,D.Foreman,,CHI,0,0,0,425,4,16,11,77,1,9,502,5
2023,D.Mooney,,CHI,0,0,0,5,0,61,31,414,1,14,419,1
2023,T.Scott,,CHI,0,0,0,41,0,32,17,168,0,13,209,0
2023,D.Evans,,CHI,0,0,0,105,1,12,7,49,0,5,154,1
2023,R.Tonyan,,CHI,0,0,0,0,0,17,11,112,0,11,112,0
2023,V.Jones,,CHI,0,0,0,51,0,7,4,20,0,10,71,0
2023,E.St. Brown,,CHI,0,0,0,0,0,6,5,62,0,5,62,0
2023,C.Claypool,,CHI,0,0,0,0,0,14,4,51,1,3,51,1
2023,M.Lewis,,CHI,0,0,0,0,0,5,4,29,1,5,29,1
2023,K.Blasingame,,CHI,0,0,0,26,0,7,3,2,0,7,28,0
2023,C.Johnson,,CHI,0,0,0,0,0,1,1,11,0,1,11,0
2023,N.Peterman,,CHI,0,0,0,0,0,0,0,0,0,1,0,0
2023,T.Homer,,CHI,0,0,0,0,0,1,0,0,0,1,0,0
2023,T.Taylor,,CHI,0,0,0,-2,0,2,0,0,0,3,-2,0
