Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2024,C.Williams,,CHI,3541,20,6,495,0,0,0,0,0,17,4036,20
2024,D.Swift,,CHI,0,0,0,959,6,53,42,386,0,17,1345,6
2024,D.Moore,,CHI,0,0,0,75,0,142,98,966,6,17,1041,6
2024,R.Odunze,,CHI,0,0,0,15,0,101,54,734,3,17,749,3
2024,K.Allen,,CHI,0,0,1,0,0,123,70,744,7,15,744,7
2024,C.Kmet,,CHI,0,0,0,0,0,59,47,474,4,15,474,4
2024,R.Johnson,,CHI,0,0,0,150,6,20,16,104,0,12,254,6
2024,D.Carter,,CHI,0,0,0,0,0,14,9,72,0,5,72,0
2024,G.Everett,,CHI,0,0,0,0,0,13,8,36,0,9,36,0
2024,T.Homer,,CHI,0,0,0,23,0,3,3,11,0,4,34,0
2024,K.Herbert,,CHI,0,0,0,16,1,3,2,4,0,3,20,1
2024,V.Jones,,CHI,0,0,0,11,0,1,1,8,0,1,19,0
2024,T.Bagent,,CHI,11,0,0,0,0,0,0,0,0,2,11,0
2024,C.Johnson,,CHI,0,0,0,0,0,2,1,6,0,2,6,0
2024,T.Scott,,CHI,0,0,0,0,0,1,1,5,0,1,5,0
2024,D.Evans,,CHI,0,0,0,3,0,0,0,0,0,1,3,0
2024,M.Lewis,,CHI,0,0,0,0,0,1,1,2,0,1,2,0
