Season,Week,Game_Date,Opponent,Home_Away,Result,Points_For,Points_Against,Point_Differential,Wins_After_Game,Losses_After_Game,Ties_After_Game
2019,1,2019-09-05,GB,Home,L,3,10,-7,0,1,0
2019,2,2019-09-15,DEN,Away,W,16,14,2,1,1,0
2019,3,2019-09-23,WAS,Away,W,31,15,16,2,1,0
2019,4,2019-09-29,MIN,Home,W,16,6,10,3,1,0
2019,5,2019-10-06,OAK,Away,L,21,24,-3,3,2,0
2019,7,2019-10-20,NO,Home,L,25,36,-11,3,3,0
2019,8,2019-10-27,LAC,Home,L,16,17,-1,3,4,0
2019,9,2019-11-03,PHI,Away,L,14,22,-8,3,5,0
2019,10,2019-11-10,DET,Home,W,20,13,7,4,5,0
2019,11,2019-11-17,LA,Away,L,7,17,-10,4,6,0
2019,12,2019-11-24,NYG,Home,W,19,14,5,5,6,0
2019,13,2019-11-28,DET,Away,W,24,20,4,6,6,0
2019,14,2019-12-05,DAL,Home,W,31,24,7,7,6,0
2019,15,2019-12-15,GB,Away,L,13,21,-8,7,7,0
2019,16,2019-12-22,KC,Home,L,3,26,-23,7,8,0
2019,17,2019-12-29,MIN,Away,W,21,19,2,8,8,0
