Season,Week,Game_Date,Opponent,Home_Away,Result,Points_For,Points_Against,Point_Differential,Wins_After_Game,Losses_After_Game,Ties_After_Game
2023,1,2023-09-10,GB,Home,L,20,38,-18,0,1,0
2023,2,2023-09-17,TB,Away,L,17,27,-10,0,2,0
2023,3,2023-09-24,KC,Away,L,10,41,-31,0,3,0
2023,4,2023-10-01,DEN,Home,L,28,31,-3,0,4,0
2023,5,2023-10-05,WAS,Away,W,40,20,20,1,4,0
2023,6,2023-10-15,MIN,Home,L,13,19,-6,1,5,0
2023,7,2023-10-22,LV,Home,W,30,12,18,2,5,0
2023,8,2023-10-29,LAC,Away,L,13,30,-17,2,6,0
2023,9,2023-11-05,NO,Away,L,17,24,-7,2,7,0
2023,10,2023-11-09,CAR,Home,W,16,13,3,3,7,0
2023,11,2023-11-19,DET,Away,L,26,31,-5,3,8,0
2023,12,2023-11-27,MIN,Away,W,12,10,2,4,8,0
2023,14,2023-12-10,DET,Home,W,28,13,15,5,8,0
2023,15,2023-12-17,CLE,Away,L,17,20,-3,5,9,0
2023,16,2023-12-24,ARI,Home,W,27,16,11,6,9,0
2023,17,2023-12-31,ATL,Home,W,37,17,20,7,9,0
2023,18,2024-01-07,GB,Away,L,9,17,-8,7,10,0
