Season,Player_Name,Position,Team,Guaranteed_Money,Contract_Value,Contract_Length_Years
2021,Adam Redmond,C,CHI,0,990000,1
2021,Adarius Pickett,S,CHI,10000,1760000,3
2021,Ahmad Wagner,WR,CHI,11000,2291000,3
2021,Alec Ogletree,LB,CHI,0,1075000,1
2021,Alex Bars,LG,CHI,0,850000,1
2021,Alex Taylor,RT,CHI,0,190533,1
2021,Allen Robinson,WR,CHI,17880000,17980000,1
2021,Andy Dalton,QB,CHI,7000000,10000000,1
2021,Angelo Blackson,IDL,CHI,3000000,5500000,2
2021,Anthony Miller,WR,CHI,3176950,5353700,4
2021,Arlington Hambright,LG,CHI,0,165600,1
2021,Artavis Pierce,RB,CHI,0,165600,1
2021,Artie Burns,CB,CHI,0,990000,1
2021,Austin Calitro,LB,CHI,0,920000,1
2021,Auzoyah Alufohai,IDL,CHI,0,165600,1
2021,Badara Traore,RT,CHI,0,660000,1
2021,Ben Mason,FB,CHI,0,165600,1
2021,Bilal Nichols,IDL,CHI,299480,2759480,4
2021,Blake Blackmar,RG,CHI,2500,1757500,3
2021,Bobby Massie,RT,CHI,15800000,32000000,4
2021,Breshad Perriman,WR,CHI,0,990000,1
2021,Brian Johnson,K,CHI,0,2425000,3
2021,Bruce Irvin,LB,CHI,0,1075000,1
2021,Buster Skrine,CB,CHI,8500000,16500000,3
2021,CJ Marable,RB,CHI,3000,2428000,3
2021,Cairo Santos,K,CHI,4575000,9000000,3
2021,Caleb Johnson,LB,CHI,7000,2432000,3
2021,Cassius Marsh,ED,CHI,0,1075000,1
2021,Charles Snowden,ED,CHI,115000,2440000,3
2021,Chris Blewitt,K,CHI,0,1755000,3
2021,Chris Lacy,WR,CHI,0,780000,1
2021,Chris Thompson,WR,CHI,0,252000,1
2021,Christian Jones,LB,CHI,537500,1212500,1
2021,Chuck Harris,IDL,CHI,37500,1767500,3
2021,Clifton Duck,CB,CHI,0,1755000,3
2021,Cody Parkey,K,CHI,9000000,15000000,4
2021,Cody Whitehair,LG,CHI,27526078,51250000,5
2021,Cole Kmet,TE,CHI,4635561,7577786,4
2021,Damien Williams,RB,CHI,1000000,1500000,1
2021,Damiere Byrd,WR,CHI,387500,1127500,1
2021,Damion Square,IDL,CHI,0,297722,1
2021,Daniel Archibong,IDL,CHI,35000,2440000,3
2021,Danny Trevathan,LB,CHI,13625000,21750000,3
2021,Dareuan Parker,LG,CHI,5000,2430000,3
2021,Darion Clark,TE,CHI,0,1800000,3
2021,Darnell Mooney,WR,CHI,282048,3577048,4
2021,Darrynton Evans,RB,CHI,877664,4437718,4
2021,Daryle Banfield,IDL,CHI,1500,1756500,3
2021,David Montgomery,RB,CHI,1046180,4015380,4
2021,Dax Raymond,TE,CHI,45000,1770000,3
2021,Dazz Newsome,WR,CHI,130704,3610704,4
2021,DeAndre Houston-Carson,S,CHI,987500,1127500,1
2021,Dee Virgin,CB,CHI,0,252000,1
2021,Deon Bush,S,CHI,750000,1500000,1
2021,Desmond Trufant,CB,CHI,0,1075000,1
2021,Dieter Eiselen,LG,CHI,0,660000,1
2021,Dionte Ruffin,CB,CHI,1000,2426000,3
2021,Doyin Jibowu,S,CHI,12500,1760000,3
2021,Duke Shelley,CB,CHI,127840,2647840,4
2021,Eddie Goldman,IDL,CHI,25000000,42040000,4
2021,Eddie Jackson,S,CHI,33000000,58400000,4
2021,Elijah Wilkinson,LT,CHI,987500,1127500,1
2021,Elliott Fry,K,CHI,0,1755000,3
2021,Ellis Richardson,TE,CHI,1500,1756500,3
2021,Emanuel Hall,WR,CHI,42000,1767000,3
2021,Gage Cervenka,RG,CHI,0,2425000,3
2021,Germain Ifedi,RT,CHI,2250000,4250000,1
2021,Gunnar Vogel,RT,CHI,5000,2430000,3
2021,Ian Bunting,TE,CHI,15000,1760000,3
2021,Isaiah Coulter,WR,CHI,0,780000,1
2021,J.P. Holtz,TE,CHI,0,850000,1
2021,Jake Butt,TE,CHI,0,850000,1
2021,Jakeem Grant,WR,CHI,2250000,2300000,1
2021,Jalen Dalton,IDL,CHI,0,1755000,3
2021,Jameer Thurman,LB,CHI,40000,1762500,3
2021,James Daniels,RG,CHI,3930576,6950156,4
2021,James Vaughters,ED,CHI,0,850000,1
2021,Jamire Jordan,CB,CHI,10000,1760000,3
2021,Jason Peters,LT,CHI,250000,1750000,1
2021,Javon Wims,WR,CHI,95912,2555912,4
2021,Jaylon Johnson,CB,CHI,3778599,6468774,4
2021,Jeremiah Attaochu,ED,CHI,2825000,5550000,2
2021,Jesper Horsted,WR,CHI,0,780000,1
2021,Jesse James,TE,CHI,1650000,1650000,1
2021,Jester Weah,WR,CHI,0,660000,1
2021,Jimmy Graham,TE,CHI,9000000,16000000,2
2021,Joe Lowery,RG,CHI,5000,1757000,3
2021,Joe Walker,WR,CHI,0,1755000,3
2021,Joel Iyiegbuniwe,LB,CHI,678576,3138576,4
2021,John Baron,K,CHI,0,1755000,3
2021,John Daka,ED,CHI,0,165600,1
2021,John Wirtel,LS,CHI,7500,1757500,3
2021,Jomon Dotson,CB,CHI,10000,1760000,3
2021,Jon'Vea Johnson,WR,CHI,0,660000,1
2021,Jonathan Harris,IDL,CHI,5000,1757500,3
2021,Josh Woods,LB,CHI,0,850000,1
2021,Joshua Simmons,CB,CHI,6000,1755000,3
2021,Justin Fields,QB,CHI,18871952,18871952,4
2021,Justin Hardy,WR,CHI,0,990000,1
2021,Keandre Jones,LB,CHI,16500,2291500,3
2021,Kerrith Whyte,RB,CHI,101468,2621468,4
2021,Khalil Herbert,RB,CHI,130704,3610704,4
