Season,Player_Name,Position,Team,Guaranteed_Money,Contract_Value,Contract_Length_Years
2020,Aaron Neary,LG,CHI,0,142800,1
2020,Abdullah Anderson,IDL,CHI,0,142800,1
2020,Adam Shaheen,TE,CHI,3637216,5910516,4
2020,Adarius Pickett,S,CHI,10000,1760000,3
2020,Ahmad Wagner,WR,CHI,11000,2291000,3
2020,Akiem Hicks,IDL,CHI,30000000,48000000,4
2020,Alex Bars,LG,CHI,40000,1760000,3
2020,Alex Wesley,WR,CHI,0,610000,1
2020,Allen Robinson,WR,CHI,25200000,42000000,3
2020,Andrew Trumbetti,ED,CHI,500,1710000,3
2020,Anthony Miller,WR,CHI,3176950,5353700,4
2020,Anthony Rush,IDL,CHI,0,675000,1
2020,Arlington Hambright,LG,CHI,99108,3394108,4
2020,Artavis Pierce,RB,CHI,11000,2291000,3
2020,Artie Burns,CB,CHI,887500,1047500,1
2020,Badara Traore,RT,CHI,20000,2295000,3
2020,Barkevious Mingo,ED,CHI,887500,1187500,1
2020,Ben Braunecker,TE,CHI,550000,2700000,2
2020,Bilal Nichols,IDL,CHI,299480,2759480,4
2020,Blake Blackmar,RG,CHI,2500,1757500,3
2020,Bobby Massie,RT,CHI,15800000,32000000,4
2020,Brent Urban,IDL,CHI,90000,1000000,1
2020,Bunmi Rotimi,IDL,CHI,7000,1717000,3
2020,Buster Skrine,CB,CHI,8500000,16500000,3
2020,Cairo Santos,K,CHI,0,910000,1
2020,Cavon Walker,IDL,CHI,6000,1716000,3
2020,Charles Leno Jr.,LT,CHI,18000000,37000000,4
2020,Chris Blewitt,K,CHI,0,1755000,3
2020,Chuck Harris,IDL,CHI,37500,1767500,3
2020,Clifton Duck,CB,CHI,0,1755000,3
2020,Cody Parkey,K,CHI,9000000,15000000,4
2020,Cody Whitehair,LG,CHI,27526078,51250000,5
2020,Cole Kmet,TE,CHI,4635561,7577786,4
2020,Cordarrelle Patterson,WR,CHI,5000000,10000000,2
2020,Corey Levin,C,CHI,18000,1398000,2
2020,Cyril Grayson,WR,CHI,0,1080000,2
2020,Daniel McCullers,IDL,CHI,0,910000,1
2020,Danny Trevathan,LB,CHI,13625000,21750000,3
2020,Darion Clark,TE,CHI,0,1800000,3
2020,Darnell Mooney,WR,CHI,282048,3577048,4
2020,Darrynton Evans,RB,CHI,877664,4437718,4
2020,Daryle Banfield,IDL,CHI,1500,1756500,3
2020,David Montgomery,RB,CHI,1046180,4015380,4
2020,Dax Raymond,TE,CHI,0,510000,1
2020,DeAndre Carter,WR,CHI,0,660000,1
2020,DeAndre Houston-Carson,S,CHI,90000,1000000,1
2020,Dejon Allen,RG,CHI,0,1080000,2
2020,Demetrius Harris,TE,CHI,500000,1650000,1
2020,Deon Bush,S,CHI,637500,1400000,1
2020,Devante Bond,LB,CHI,0,735000,1
2020,Dieter Eiselen,LG,CHI,15000,2290000,3
2020,Dino Boyd,LT,CHI,0,510000,1
2020,Doyin Jibowu,S,CHI,12500,1760000,3
2020,Duke Shelley,CB,CHI,127840,2647840,4
2020,Dwayne Harris,WR,CHI,0,1050000,1
2020,Eddie Goldman,IDL,CHI,25000000,42040000,4
2020,Eddie Jackson,S,CHI,33000000,58400000,4
2020,Eddy Pineiro,K,CHI,25000,1735000,3
2020,Elijah Norris,ED,CHI,1000,1711000,3
2020,Elliott Fry,K,CHI,0,1755000,3
2020,Ellis Richardson,TE,CHI,1500,1756500,3
2020,Emanuel Hall,WR,CHI,42000,1767000,3
2020,Eric Kush,C,CHI,0,204000,1
2020,Eric Saubert,TE,CHI,8000,1388000,2
2020,Garrett Johnson,WR,CHI,100,1711000,3
2020,Germain Ifedi,RG,CHI,887500,1047500,1
2020,Ian Bunting,TE,CHI,15000,1760000,3
2020,Isaiah Irving,ED,CHI,25000,850000,1
2020,J.P. Holtz,TE,CHI,0,675000,1
2020,Jalen Dalton,IDL,CHI,0,1755000,3
2020,Jameer Thurman,LB,CHI,40000,1762500,3
2020,James Daniels,RG,CHI,3930576,6950156,4
2020,James Vaughters,ED,CHI,0,585000,1
2020,Jamire Jordan,CB,CHI,10000,1760000,3
2020,Jamon Brown,RG,CHI,0,204000,1
2020,Jason Spriggs,LT,CHI,0,850000,1
2020,Javon Wims,WR,CHI,95912,2555912,4
2020,Jay Cutler,QB,CHI,54000000,126700000,7
2020,Jaylon Johnson,CB,CHI,3778599,6468774,4
2020,Jeremi Hall,LG,CHI,0,1710000,3
2020,Jesper Horsted,WR,CHI,0,142800,1
2020,Jimmy Graham,TE,CHI,9000000,16000000,2
2020,Joe Lowery,RG,CHI,5000,1757000,3
2020,Joe Walker,WR,CHI,0,1755000,3
2020,Joel Iyiegbuniwe,LB,CHI,678576,3138576,4
2020,John Baron,K,CHI,0,1755000,3
2020,John Franklin III,CB,CHI,0,1080000,2
2020,John Jenkins,IDL,CHI,25000,1100000,1
2020,John Wirtel,LS,CHI,7500,1757500,3
2020,Jomon Dotson,CB,CHI,10000,1760000,3
2020,Jonathan Harris,IDL,CHI,5000,1757500,3
2020,Jonathon Mincy,S,CHI,0,1080000,2
2020,Jordan Lucas,S,CHI,340000,1000000,1
2020,Jordan Morgan,LG,CHI,296048,2696048,4
2020,Josh Woods,LB,CHI,30200,1110200,2
2020,Joshua Simmons,CB,CHI,6000,1755000,3
2020,Kai Forbath,K,CHI,0,204000,1
2020,Keandre Jones,LB,CHI,16500,2291500,3
2020,Kentrell Brice,S,CHI,0,735000,1
2020,Kerrith Whyte,RB,CHI,101468,2621468,4
2020,Kevin Toliver II,CB,CHI,25000,1725000,3
2020,Khalil Mack,ED,CHI,90000000,141000000,6
2020,Kindle Vildor,CB,CHI,310672,3605672,4
2020,Kyle Fuller,CB,CHI,18000000,56000000,4
2020,Kyle Long,RG,CHI,4000000,12200000,2
2020,Kyle Sloter,QB,CHI,0,142800,1
2020,Kylie Fitts,ED,CHI,171900,2631900,4
2020,Lacale London,IDL,CHI,20000,2295000,3
2020,Lachavious Simmons,RG,CHI,99096,3394096,4
2020,Lamar Miller,RB,CHI,0,204000,1
2020,Lawrence Marshall,IDL,CHI,0,1755000,3
2020,Ledarius Mack,LB,CHI,1500,2286500,3
2020,Lee Autry,IDL,CHI,5000,2290000,3
2020,Manti Te'o,LB,CHI,0,204000,1
2020,Mario Edwards Jr.,IDL,CHI,0,1600000,1
2020,Marquez Tucker,LG,CHI,10000,1760000,3
2020,Marqui Christian,S,CHI,0,910000,1
2020,Mathieu Betts,ED,CHI,22000,1765000,3
2020,Matt Fleming,WR,CHI,0,1710000,3
2020,Michael Burton,FB,CHI,184356,2464356,4
2020,Michael Joseph,CB,CHI,0,1080000,2
2020,Mike Davis,RB,CHI,3000000,6000000,2
2020,Mitchell Trubisky,QB,CHI,29032436,29032436,4
2020,Napoleon Maxwell,RB,CHI,1500,2286500,3
2020,Nick Foles,QB,CHI,21000000,24000000,3
2020,Nick Orr,S,CHI,3500,1713500,3
2020,Nsimba Webster,WR,CHI,0,1755000,3
2020,Nyles Morgan,LB,CHI,3500,1713500,3
2020,Pat O'Donnell,P,CHI,1750000,3500000,2
2020,Patrick Scales,LS,CHI,887500,1047500,1
2020,Prince Amukamara,CB,CHI,18000000,27000000,3
2020,Ramiz Ahmed,K,CHI,0,2285000,3
2020,Rashaad Coward,RG,CHI,0,825000,1
2020,Rashad Smith,LB,CHI,17500,2292500,3
2020,Rashard Fant,CB,CHI,1000,1711000,3
2020,Redford Jones,K,CHI,0,1755000,3
2020,Reggie Davis,WR,CHI,0,510000,1
2020,Riley Ridley,WR,CHI,682596,3202596,4
2020,Ro'Derrick Hoskins,LB,CHI,0,1710000,3
