Season,Player_Name,Position,Team,Guaranteed_Money,Contract_Value,Contract_Length_Years
2022,AJ Thomas,S,CHI,0,2560000,3
2022,Ahmad Wagner,WR,CHI,11000,2291000,3
2022,Al-Quadin Muhammad,ED,CHI,3300000,8000000,2
2022,Allie Green IV,CB,CHI,5500,2565500,3
2022,Amari Carter,S,CHI,5000,2565000,3
2022,Angelo Blackson,IDL,CHI,3000000,5500000,2
2022,Antonio Ortiz,LS,CHI,0,2560000,3
2022,Arlington Hambright,LG,CHI,99108,3394108,4
2022,Artavis Pierce,RB,CHI,11000,2291000,3
2022,Auzoyah Alufohai,IDL,CHI,0,825000,1
2022,Badara Traore,RT,CHI,20000,2295000,3
2022,Beau Brinkley,LS,CHI,0,1120000,1
2022,Bobby Massie,RT,CHI,15800000,32000000,4
2022,Braxton Jones,LT,CHI,299548,3959548,4
2022,Brian Johnson,K,CHI,0,2425000,3
2022,Byron Pringle,WR,CHI,3900000,4125000,1
2022,CJ Avery,LB,CHI,12000,2572000,3
2022,CJ Marable,RB,CHI,3000,2428000,3
2022,Cairo Santos,K,CHI,4575000,9000000,3
2022,Caleb Johnson,LB,CHI,7000,2432000,3
2022,Carson Taylor,ED,CHI,0,2560000,3
2022,Charles Snowden,ED,CHI,0,705000,1
2022,Chase Allen,TE,CHI,72000,2572000,3
2022,Chris Finke,WR,CHI,0,705000,1
2022,Christian Albright,LB,CHI,0,2560000,3
2022,Cody Whitehair,LG,CHI,27526078,51250000,5
2022,Cole Kmet,TE,CHI,4635561,7577786,4
2022,Cyrus Holder,WR,CHI,1000,2561000,3
2022,Dakota Dozier,LG,CHI,0,1120000,1
2022,Dane Cruikshank,S,CHI,1047500,1187500,1
2022,Daniel Archibong,IDL,CHI,35000,2440000,3
2022,Danny Trevathan,LB,CHI,13625000,21750000,3
2022,Dante Pettis,WR,CHI,0,0,1
2022,Dareuan Parker,LG,CHI,5000,2430000,3
2022,Darion Clark,TE,CHI,0,1800000,3
2022,Darnell Mooney,WR,CHI,282048,3577048,4
2022,Darrynton Evans,RB,CHI,877664,4437718,4
2022,David Montgomery,RB,CHI,1046180,4015380,4
2022,David Moore,WR,CHI,0,1035000,1
2022,Dazz Newsome,WR,CHI,130704,3610704,4
2022,De'Montre Tuggle,RB,CHI,0,2560000,3
2022,DeAndre Houston-Carson,S,CHI,1770000,1770000,1
2022,Dieter Eiselen,LG,CHI,0,705000,1
2022,Dionte Ruffin,CB,CHI,1000,2426000,3
2022,Dominique Robinson,ED,CHI,273152,3933152,4
2022,Doug Kramer,C,CHI,157812,3817812,4
2022,Duke Shelley,CB,CHI,127840,2647840,4
2022,Eddie Jackson,S,CHI,33000000,58400000,4
2022,Elijah Hicks,S,CHI,77012,3737012,4
2022,Equanimeous St. Brown,WR,CHI,0,965000,1
2022,Gage Cervenka,RG,CHI,0,2425000,3
2022,Greg Stroman,CB,CHI,0,895000,1
2022,Gunnar Vogel,RT,CHI,5000,2430000,3
2022,Henry Litwin,WR,CHI,1000,2561000,3
2022,Isaiah Coulter,WR,CHI,0,825000,1
2022,Ja'Tyre Carter,LG,CHI,109312,3769312,4
2022,Jack Sanborn,LB,CHI,17500,2567500,3
2022,Jake Tonges,TE,CHI,7000,2567000,3
2022,James O'Shaughnessy,TE,CHI,0,1120000,1
2022,Jaquan Brisker,S,CHI,0,7971982,4
2022,Jaylan Alexander,LB,CHI,2000,2562000,3
2022,Jaylon Johnson,CB,CHI,3778599,6468774,4
2022,Jaylon Jones,S,CHI,2500,2562500,3
2022,Jean Delance,RT,CHI,120000,2580000,3
2022,Jeremiah Attaochu,ED,CHI,2825000,5550000,2
2022,Jesper Horsted,WR,CHI,0,895000,1
2022,Joe Thomas,LB,CHI,0,1120000,1
2022,Jon Alexander,S,CHI,0,2560000,3
2022,Julie'n Davenport,LT,CHI,0,1035000,1
2022,Justin Fields,QB,CHI,18871952,18871952,4
2022,Justin Jones,IDL,CHI,9050000,12000000,2
2022,Keandre Jones,LB,CHI,16500,2291500,3
2022,Kerrith Whyte,RB,CHI,101468,2621468,4
2022,Kevin Shaa,WR,CHI,14000,2574000,3
2022,Khalil Herbert,RB,CHI,130704,3610704,4
2022,Khalil Mack,ED,CHI,90000000,141000000,6
2022,Khalil McClain,WR,CHI,3000,2428000,3
2022,Khari Blasingame,RB,CHI,0,965000,1
2022,Khyiris Tonga,IDL,CHI,83648,3563648,4
2022,Kindle Vildor,CB,CHI,310672,3605672,4
2022,Kyler Gordon,CB,CHI,0,9534620,4
2022,Lacale London,IDL,CHI,0,705000,1
2022,Lachavious Simmons,RG,CHI,0,895000,1
2022,Lamar Jackson,CB,CHI,0,825000,1
2022,Landon Lenoir,WR,CHI,2000,2562000,3
2022,Larry Borom,RT,CHI,333076,3813076,4
2022,Ledarius Mack,LB,CHI,0,825000,1
2022,Lee Autry,IDL,CHI,5000,2290000,3
2022,Lucas Patrick,LG,CHI,4000000,8000000,2
2022,Mario Edwards Jr.,IDL,CHI,5500097,11660391,3
2022,Master Teague,RB,CHI,5500,2565500,3
2022,Matthew Adams,LB,CHI,152500,1187500,1
2022,Micah Dew-Treadway,IDL,CHI,5000,2565000,3
2022,Michael Joseph,S,CHI,0,705000,1
2022,Napoleon Maxwell,RB,CHI,1500,2286500,3
2022,Nathan Peterman,QB,CHI,0,0,1
2022,Nicholas Morrow,LB,CHI,2500000,3000000,1
2022,Nick Foles,QB,CHI,21000000,24000000,3
2022,Noah Dawkins,LB,CHI,0,895000,1
2022,Nsimba Webster,WR,CHI,0,965000,1
2022,Patrick Scales,LS,CHI,1047500,1187500,1
2022,Ramiz Ahmed,K,CHI,0,2285000,3
2022,Rashad Smith,LB,CHI,17500,2292500,3
2022,Riley Ridley,WR,CHI,682596,3202596,4
2022,Robert Quinn,ED,CHI,30000000,70000000,5
2022,Ryan Griffin,TE,CHI,750000,2250000,1
2022,Ryan Willis,QB,CHI,0,2560000,3
2022,Ryan Winslow,P,CHI,0,825000,1
2022,Rysen John,TE,CHI,5000,1490000,2
2022,Sam Kamara,IDL,CHI,7000,2432000,3
2022,Sam Mustipher,C,CHI,0,895000,1
2022,Savon Scarver,WR,CHI,5000,2565000,3
2022,Scooter Harrington,TE,CHI,1000,2426000,3
2022,Shon Coleman,LT,CHI,0,1035000,1
2022,Stephen Denmark,CB,CHI,80956,2600956,4
2022,Tajae Sharpe,WR,CHI,0,0,1
2022,Tarik Cohen,RB,CHI,12033000,17250000,3
2022,Tavon Young,CB,CHI,650000,1365000,1
2022,Teven Jenkins,LT,CHI,5261518,8387848,4
2022,Thakarius Keyes,CB,CHI,0,895000,1
2022,Thomas Graham Jr.,CB,CHI,130704,3610704,4
2022,Thomas Schaffer,IDL,CHI,25000,2435000,3
2022,Trenton Gill,P,CHI,77012,3737012,4
2022,Trestan Ebner,RB,CHI,165936,3825936,4
2022,Trevis Gipson,ED,CHI,325672,3620672,4
2022,Trevon McSwain,IDL,CHI,32500,2297500,3
2022,Trevor Siemian,QB,CHI,3035000,4000000,2
2022,Tyrone Wheatley Jr.,RT,CHI,0,705000,1
2022,Velus Jones Jr.,WR,CHI,1111580,5405924,4
2022,Willie Wright,RG,CHI,0,705000,1
2022,Zachary Thomas,RG,CHI,191652,3851652,4
