Season,Player_Name,Position,Team,Guaranteed_Money,Contract_Value,Contract_Length_Years
2023,AJ Thomas,S,CHI,0,2560000,3
2023,Al-Quadin Muhammad,ED,CHI,3300000,8000000,2
2023,Allie Green IV,CB,CHI,5500,2565500,3
2023,Amari Carter,S,CHI,5000,2565000,3
2023,Antonio Ortiz,LS,CHI,0,2560000,3
2023,Arlington Hambright,LG,CHI,99108,3394108,4
2023,Braxton Jones,LT,CHI,299548,3959548,4
2023,Brian Johnson,K,CHI,0,2425000,3
2023,CJ Avery,LB,CHI,12000,2572000,3
2023,CJ Marable,RB,CHI,3000,2428000,3
2023,Cairo Santos,K,CHI,4575000,9000000,3
2023,Caleb Johnson,LB,CHI,7000,2432000,3
2023,Carson Taylor,ED,CHI,0,2560000,3
2023,Charles Snowden,ED,CHI,115000,2440000,3
2023,Chase Allen,TE,CHI,72000,2572000,3
2023,Christian Albright,LB,CHI,0,2560000,3
2023,Cody Whitehair,LG,CHI,27526078,51250000,5
2023,Cole Kmet,TE,CHI,4635561,7577786,4
2023,Cyrus Holder,WR,CHI,1000,2561000,3
2023,Daniel Archibong,IDL,CHI,35000,2440000,3
2023,Dareuan Parker,LG,CHI,5000,2430000,3
2023,Darnell Mooney,WR,CHI,282048,3577048,4
2023,Darrynton Evans,RB,CHI,877664,4437718,4
2023,Dazz Newsome,WR,CHI,130704,3610704,4
2023,De'Montre Tuggle,RB,CHI,0,2560000,3
2023,Dionte Ruffin,CB,CHI,1000,2426000,3
2023,Dominique Robinson,ED,CHI,273152,3933152,4
2023,Doug Kramer,C,CHI,157812,3817812,4
2023,Eddie Jackson,S,CHI,33000000,58400000,4
2023,Elijah Hicks,S,CHI,77012,3737012,4
2023,Gage Cervenka,RG,CHI,0,2425000,3
2023,Gunnar Vogel,RT,CHI,5000,2430000,3
2023,Henry Litwin,WR,CHI,1000,2561000,3
2023,Ja'Tyre Carter,LG,CHI,109312,3769312,4
2023,Jack Sanborn,LB,CHI,17500,2567500,3
2023,Jake Tonges,TE,CHI,7000,2567000,3
2023,Jaquan Brisker,S,CHI,0,7971982,4
2023,Jaylan Alexander,LB,CHI,2000,2562000,3
2023,Jaylon Johnson,CB,CHI,3778599,6468774,4
2023,Jaylon Jones,S,CHI,2500,2562500,3
2023,Jean Delance,RT,CHI,120000,2580000,3
2023,Jon Alexander,S,CHI,0,2560000,3
2023,Justin Fields,QB,CHI,18871952,18871952,4
2023,Justin Jones,IDL,CHI,9050000,12000000,2
2023,Kevin Shaa,WR,CHI,14000,2574000,3
2023,Khalil Herbert,RB,CHI,130704,3610704,4
2023,Khalil Mack,ED,CHI,90000000,141000000,6
2023,Khalil McClain,WR,CHI,3000,2428000,3
2023,Khyiris Tonga,IDL,CHI,83648,3563648,4
2023,Kindle Vildor,CB,CHI,310672,3605672,4
2023,Kyler Gordon,CB,CHI,0,9534620,4
2023,Lachavious Simmons,RG,CHI,99096,3394096,4
2023,Landon Lenoir,WR,CHI,2000,2562000,3
2023,Larry Borom,RT,CHI,333076,3813076,4
2023,Lucas Patrick,LG,CHI,4000000,8000000,2
2023,Mario Edwards Jr.,IDL,CHI,5500097,11660391,3
2023,Master Teague,RB,CHI,5500,2565500,3
2023,Micah Dew-Treadway,IDL,CHI,5000,2565000,3
2023,Robert Quinn,ED,CHI,30000000,70000000,5
2023,Ryan Willis,QB,CHI,0,2560000,3
2023,Sam Kamara,IDL,CHI,7000,2432000,3
2023,Savon Scarver,WR,CHI,5000,2565000,3
2023,Scooter Harrington,TE,CHI,1000,2426000,3
2023,Teven Jenkins,LT,CHI,5261518,8387848,4
2023,Thomas Graham Jr.,CB,CHI,130704,3610704,4
2023,Thomas Schaffer,IDL,CHI,25000,2435000,3
2023,Trenton Gill,P,CHI,77012,3737012,4
2023,Trestan Ebner,RB,CHI,165936,3825936,4
2023,Trevis Gipson,ED,CHI,325672,3620672,4
2023,Trevor Siemian,QB,CHI,3035000,4000000,2
2023,Tyrone Wheatley Jr.,TE,CHI,0,2425000,3
2023,Velus Jones Jr.,WR,CHI,1111580,5405924,4
2023,Zachary Thomas,RG,CHI,191652,3851652,4
