Season,Player_Name,Position,Team,Guaranteed_Money,Contract_Value,Contract_Length_Years
2018,Aaron Lynch,ED,CHI,1250000,4000000,1
2018,Abdullah Anderson,IDL,CHI,10000,1715000,3
2018,Adam Shaheen,TE,CHI,3637216,5910516,4
2018,Adrian Amos,S,CHI,232280,2512280,4
2018,Akiem Hicks,IDL,CHI,30000000,48000000,4
2018,Alex Scearce,LB,CHI,0,1665000,3
2018,Allen Robinson,WR,CHI,25200000,42000000,3
2018,Andrew Trumbetti,ED,CHI,500,1710000,3
2018,Andy Phillips,K,CHI,0,1665000,3
2018,Anthony Miller,WR,CHI,3176950,5353700,4
2018,Ben Braunecker,TE,CHI,0,1170000,2
2018,Ben LeCompte,P,CHI,0,1620000,3
2018,Bennie Fowler,WR,CHI,200000,1000000,1
2018,Benny Cunningham,RB,CHI,150000,1050000,1
2018,Bilal Nichols,IDL,CHI,299480,2759480,4
2018,Bobby Massie,RT,CHI,6500000,18000000,3
2018,Bradley Sowell,TE,CHI,850000,3000000,2
2018,Brandon Greene,RG,CHI,0,1665000,3
2018,Bryan Witzmann,LG,CHI,0,630000,1
2018,Bryce Callahan,CB,CHI,0,1907000,1
2018,Bunmi Rotimi,IDL,CHI,7000,1717000,3
2018,Cameron Lee,LG,CHI,0,1020000,2
2018,Cameron Meredith,WR,CHI,0,1907000,1
2018,Cavon Walker,IDL,CHI,6000,1716000,3
2018,Charles Leno Jr.,LT,CHI,18000000,37000000,4
2018,Chase Daniel,QB,CHI,7000000,10000000,2
2018,Cody Parkey,K,CHI,9000000,15000000,4
2018,Cody Whitehair,C,CHI,2364438,4224568,4
2018,Colin Thompson,TE,CHI,0,480000,1
2018,Cre'Von LeBlanc,CB,CHI,17500,1630000,3
2018,Cyril Grayson,WR,CHI,0,129200,1
2018,Dalyn Williams,QB,CHI,0,1620000,3
2018,Daniel Brown,TE,CHI,70000,925000,1
2018,Danny Trevathan,LB,CHI,15500000,28000000,4
2018,Darrin Peterson,WR,CHI,0,1620000,3
2018,DeAndre Houston-Carson,S,CHI,0,1170000,2
2018,DeMarcus Ayers,WR,CHI,0,555000,1
2018,Deiondre' Hall,S,CHI,510892,2850892,4
2018,Dejon Allen,RG,CHI,10000,1720000,3
2018,Deon Bush,S,CHI,526216,2866216,4
2018,Derek Keaton,WR,CHI,0,1620000,3
2018,Dieugot Joseph,LT,CHI,0,1665000,3
2018,Dion Sims,TE,CHI,10000000,18000000,3
2018,Doran Grant,CB,CHI,0,555000,1
2018,Earl Watford,RG,CHI,550000,1250000,1
2018,Eddie Goldman,IDL,CHI,25000000,42040000,4
2018,Eddie Jackson,S,CHI,665808,3065808,4
2018,Eddy Pineiro,K,CHI,25000,1735000,3
2018,Elijah Norris,ED,CHI,1000,1711000,3
2018,Eric Kush,LG,CHI,500000,2700000,2
2018,Franko House,TE,CHI,0,1665000,3
