Season,Team,Wins,Losses,Ties,Win_Percentage,Points_For,Points_Against,Point_Differential,Passing_Yards,Rushing_Yards,Total_Offense_Yards,Passing_TDs,Rushing_TDs,Turnovers,Takeaways,Turnover_Differential,Offensive_Rank,Defensive_Rank
2020,KC,14,2,0,0.875,473,362,111,5005,1807,6812,40,13,15,22,7,1,15
2020,MIN,7,9,0,0.438,430,475,-45,4265,2291,6556,35,20,22,19,-3,2,27
2020,BUF,13,3,0,0.812,501,375,126,4786,1749,6535,40,16,20,26,6,3,13
2020,TEN,11,5,0,0.688,491,439,52,3826,2705,6531,33,26,12,22,10,4,28
2020,GB,13,3,0,0.812,509,369,140,4299,2135,6434,48,16,9,18,9,5,8
2020,ARI,8,8,0,0.5,410,367,43,4102,2257,6359,27,22,21,18,-3,6,16
2020,LAC,7,9,0,0.438,384,426,-42,4548,1793,6341,31,12,15,17,2,7,10
2020,HOU,4,12,0,0.25,384,464,-80,4843,1476,6319,33,10,16,9,-7,8,31
2020,LV,8,8,0,0.5,434,478,-44,4383,1926,6309,28,20,25,14,-11,9,24
2020,TB,11,5,0,0.688,492,355,137,4776,1533,6309,42,16,16,25,9,9,9
2020,DAL,6,10,0,0.375,395,473,-78,4511,1793,6304,25,14,26,22,-4,11,25
2020,SEA,12,4,0,0.75,459,371,88,4245,1988,6233,40,15,18,21,3,12,23
2020,NO,12,4,0,0.75,482,337,145,3945,2286,6231,28,30,16,23,7,13,3
2020,LA,10,6,0,0.625,372,296,76,4183,2035,6218,20,19,23,22,-1,14,1
2020,SF,6,10,0,0.375,376,390,-14,4320,1898,6218,25,19,27,19,-8,14,4
2020,IND,11,5,0,0.688,451,362,89,4186,2014,6200,24,20,15,24,9,16,7
2020,ATL,4,12,0,0.25,396,414,-18,4620,1544,6164,27,13,18,21,3,17,29
2020,CLE,11,5,0,0.688,408,419,-11,3701,2387,6088,27,21,16,21,5,18,18
2020,BAL,11,5,0,0.688,468,303,165,2919,3083,6002,27,24,18,21,3,19,6
2020,DET,5,11,0,0.312,377,519,-142,4397,1506,5903,27,17,20,12,-8,20,32
2020,CAR,5,11,0,0.312,350,402,-52,4129,1715,5844,16,19,21,20,-1,21,17
2020,PHI,4,11,1,0.25,334,418,-84,3728,2033,5761,22,16,29,18,-11,22,19
2020,MIA,10,6,0,0.625,404,338,66,3937,1704,5641,24,15,20,28,8,23,21
2020,DEN,5,11,0,0.312,323,446,-123,3673,1935,5608,21,13,32,15,-17,24,20
2020,CHI,8,8,0,0.5,372,370,2,3925,1658,5583,26,12,21,16,-5,25,11
2020,PIT,12,4,0,0.75,416,312,104,4129,1374,5503,35,12,16,26,10,26,5
2020,NE,7,9,0,0.438,326,353,-27,3124,2358,5482,12,20,19,22,3,27,12
2020,JAX,1,15,0,0.062,306,492,-186,3955,1523,5478,25,9,24,17,-7,28,30
2020,CIN,4,11,1,0.25,311,424,-113,3793,1676,5469,19,13,23,17,-6,29,22
2020,WAS,7,9,0,0.438,335,329,6,3796,1637,5433,16,18,24,23,-1,30,2
2020,NYG,6,10,0,0.375,280,357,-77,3336,1787,5123,12,13,21,20,-1,31,14
2020,NYJ,2,14,0,0.125,243,457,-214,3115,1690,4805,16,9,19,19,0,32,26
