Season,Team,Wins,Losses,Ties,Win_Percentage,Points_For,Points_Against,Point_Differential,Passing_Yards,Rushing_Yards,Total_Offense_Yards,Passing_TDs,Rushing_TDs,Turnovers,Takeaways,Turnover_Differential,Offensive_Rank,Defensive_Rank
2023,MIA,11,6,0,0.647,496,391,105,4698,2327,7025,30,27,25,26,1,1,12
2023,SF,12,5,0,0.706,491,298,193,4577,2413,6990,33,27,18,27,9,2,7
2023,DET,12,5,0,0.706,461,395,66,4606,2331,6937,30,27,22,23,1,3,20
2023,DAL,12,5,0,0.706,509,315,194,4660,1940,6600,36,14,15,26,11,4,5
2023,BAL,13,4,0,0.765,483,280,203,3881,2674,6555,27,26,19,28,9,5,9
2023,BUF,11,6,0,0.647,451,311,140,4306,2234,6540,29,22,27,29,2,6,8
2023,LA,10,7,0,0.588,404,377,27,4300,2056,6356,26,18,17,15,-2,7,19
2023,PHI,11,6,0,0.647,433,428,5,4067,2200,6267,24,22,27,17,-10,8,26
2023,MIN,7,10,0,0.412,344,362,-18,4700,1563,6263,30,7,33,21,-12,9,15
2023,HOU,10,7,0,0.588,377,353,24,4578,1641,6219,27,10,15,21,6,10,15
2023,KC,11,6,0,0.647,371,294,77,4383,1810,6193,28,9,26,17,-9,11,3
2023,GB,9,8,0,0.529,383,350,33,4210,1919,6129,32,10,16,17,1,12,17
2023,JAX,9,8,0,0.529,377,371,6,4377,1665,6042,22,17,29,25,-4,13,21
2023,CLE,11,6,0,0.647,396,362,34,4011,2028,6039,24,15,36,26,-10,14,1
2023,NO,9,8,0,0.529,402,327,75,4225,1769,5994,28,13,16,29,13,15,13
2023,LAC,5,12,0,0.294,346,398,-52,4312,1658,5970,24,11,20,19,-1,16,28
2023,IND,9,8,0,0.529,396,415,-19,3882,2074,5956,18,19,18,24,6,17,24
2023,ATL,7,10,0,0.412,321,373,-52,3775,2168,5943,17,14,28,16,-12,18,11
2023,CHI,7,10,0,0.412,360,379,-19,3421,2418,5839,19,16,24,27,3,19,10
2023,ARI,4,13,0,0.235,330,455,-125,3430,2374,5804,18,17,17,15,-2,20,25
2023,CIN,9,8,0,0.529,366,384,-18,4257,1543,5800,27,12,16,25,9,21,30
2023,WAS,4,13,0,0.235,329,518,-189,4174,1596,5770,24,14,30,17,-13,22,32
2023,SEA,9,8,0,0.529,364,402,-38,4167,1591,5758,23,11,15,19,4,23,29
2023,TB,9,8,0,0.529,348,325,23,4044,1530,5574,28,8,18,26,8,24,23
2023,PIT,10,7,0,0.588,304,324,-20,3421,2037,5458,13,16,15,27,12,25,22
2023,DEN,8,9,0,0.471,357,413,-56,3566,1831,5397,28,8,20,24,4,26,31
2023,TEN,6,11,0,0.353,305,367,-62,3512,1861,5373,14,16,17,12,-5,27,18
2023,NYG,6,11,0,0.353,266,407,-141,3351,1881,5232,15,10,17,28,11,28,27
2023,LV,8,9,0,0.471,332,331,1,3666,1559,5225,20,11,24,21,-3,29,14
2023,NE,4,13,0,0.235,236,366,-130,3392,1634,5026,16,9,30,16,-14,30,6
2023,NYJ,7,10,0,0.412,268,355,-87,3373,1652,5025,11,7,29,26,-3,31,4
2023,CAR,2,15,0,0.118,236,416,-180,3245,1773,5018,13,7,20,10,-10,32,2
