Season,Team,Wins,Losses,Ties,Win_Percentage,Points_For,Points_Against,Point_Differential,Passing_Yards,Rushing_Yards,Total_Offense_Yards,Passing_TDs,Rushing_TDs,Turnovers,Takeaways,Turnover_Differential,Offensive_Rank,Defensive_Rank
2021,DAL,12,5,0,0.706,530,358,172,4963,2127,7090,40,15,19,34,15,1,21
2021,TB,13,4,0,0.765,511,353,158,5383,1688,7071,43,18,19,28,9,2,12
2021,KC,12,5,0,0.706,480,364,116,4937,1975,6912,37,16,23,27,4,3,27
2021,LAC,9,8,0,0.529,474,459,15,5014,1849,6863,38,18,21,20,-1,4,23
2021,BAL,8,9,0,0.471,387,392,-5,4267,2487,6754,21,18,26,15,-11,5,25
2021,ARI,11,6,0,0.647,449,366,83,4619,2096,6715,27,23,14,27,13,6,9
2021,BUF,11,6,0,0.647,483,289,194,4450,2229,6679,36,20,21,27,6,7,1
2021,SF,10,7,0,0.588,427,365,62,4437,2177,6614,26,22,21,17,-4,8,5
2021,LA,12,5,0,0.706,460,372,88,4893,1702,6595,41,10,22,24,2,9,17
2021,CIN,10,7,0,0.588,460,376,84,4806,1753,6559,36,16,19,21,2,10,19
2021,GB,13,4,0,0.765,450,371,79,4526,1920,6446,39,13,11,24,13,11,11
2021,LV,10,7,0,0.588,374,439,-65,4808,1627,6435,23,14,24,13,-11,12,14
2021,MIN,8,9,0,0.471,425,426,-1,4450,1945,6395,34,10,13,23,10,13,31
2021,PHI,9,8,0,0.529,444,385,59,3585,2727,6312,20,25,16,16,0,14,10
2021,NE,10,7,0,0.588,462,303,159,4098,2179,6277,24,24,22,30,8,15,3
2021,TEN,12,5,0,0.706,419,354,65,3745,2419,6164,22,23,25,20,-5,16,13
2021,IND,9,8,0,0.529,451,365,86,3588,2554,6142,27,22,16,32,16,17,15
2021,CLE,8,9,0,0.471,349,371,-22,3619,2483,6102,21,20,22,18,-4,18,4
2021,SEA,7,10,0,0.412,395,366,29,3815,2081,5896,30,18,13,16,3,19,29
2021,DEN,7,10,0,0.412,335,322,13,3856,2031,5887,20,16,16,18,2,20,8
2021,WAS,7,10,0,0.412,335,434,-99,3746,2070,5816,21,13,24,19,-5,21,22
2021,DET,3,13,1,0.176,325,467,-142,3884,1887,5771,23,12,23,19,-4,22,28
2021,CHI,6,11,0,0.353,311,407,-96,3635,2028,5663,16,14,27,15,-12,23,7
2021,NYJ,4,13,0,0.235,310,504,-194,3959,1676,5635,20,14,27,14,-13,24,32
2021,PIT,9,7,1,0.529,343,398,-55,4017,1596,5613,23,10,19,21,2,25,26
2021,MIA,9,8,0,0.529,341,373,-32,3936,1579,5515,21,12,23,25,2,26,16
2021,ATL,7,10,0,0.412,313,459,-146,3987,1461,5448,20,11,26,19,-7,27,23
2021,NO,9,8,0,0.529,364,335,29,3437,2006,5443,29,12,17,25,8,28,6
2021,JAX,3,14,0,0.176,253,457,-204,3674,1764,5438,12,13,28,9,-19,29,20
2021,CAR,5,12,0,0.294,304,404,-100,3573,1855,5428,14,17,29,16,-13,30,2
2021,NYG,4,13,0,0.235,258,416,-158,3463,1697,5160,15,8,30,22,-8,31,18
2021,HOU,4,13,0,0.235,280,452,-172,3630,1426,5056,21,8,21,23,2,32,30
