Season,Team,Wins,Losses,Ties,Win_Percentage,Points_For,Points_Against,Point_Differential,Passing_Yards,Rushing_Yards,Total_Offense_Yards,Passing_TDs,Rushing_TDs,Turnovers,Takeaways,Turnover_Differential,Offensive_Rank,Defensive_Rank
2025,LA,12,5,0,0.706,518,346,172,4707,2183,6890,46,17,15,26,11,1,16
2025,DAL,7,9,1,0.412,471,511,-40,4735,2148,6883,31,18,21,11,-10,2,30
2025,BUF,12,5,0,0.706,481,365,116,3981,2741,6722,29,30,18,20,2,3,6
2025,NE,14,3,0,0.824,490,320,170,4459,2225,6684,31,22,16,18,2,4,8
2025,DET,9,8,0,0.529,481,413,68,4567,2052,6619,35,21,15,19,4,5,19
2025,CHI,11,6,0,0.647,441,415,26,3991,2463,6454,28,19,11,33,22,6,27
2025,SEA,14,3,0,0.824,483,292,191,4063,2114,6177,25,19,26,26,0,7,5
2025,SF,12,5,0,0.706,437,371,66,4318,1836,6154,33,15,22,14,-8,8,18
2025,IND,8,9,0,0.471,466,412,54,4085,2016,6101,25,27,21,21,0,9,23
2025,LAC,11,6,0,0.647,368,340,28,3953,2081,6034,26,10,19,22,3,10,2
2025,JAX,13,4,0,0.765,474,336,138,4026,1974,6000,29,22,18,29,11,11,10
2025,DEN,14,3,0,0.824,401,311,90,3931,2036,5967,25,18,15,13,-2,12,4
2025,BAL,8,9,0,0.471,424,398,26,3278,2681,5959,23,23,22,19,-3,13,24
2025,ARI,3,14,0,0.176,355,488,-133,4354,1586,5940,29,9,20,19,-1,14,26
2025,NYG,4,13,0,0.235,381,439,-58,3703,2202,5905,21,22,16,15,-1,15,29
2025,GB,9,7,1,0.529,391,360,31,3845,2054,5899,26,18,13,13,0,16,12
2025,ATL,8,9,0,0.471,353,401,-48,3703,2155,5858,19,17,16,21,5,17,17
2025,CIN,6,11,0,0.353,414,492,-78,4244,1609,5853,36,11,24,21,-3,18,31
2025,HOU,12,5,0,0.706,404,295,109,3956,1860,5816,24,9,11,27,16,19,1
2025,KC,6,11,0,0.353,362,328,34,3947,1825,5772,23,15,15,13,-2,20,9
2025,TB,8,9,0,0.471,380,411,-31,3755,1958,5713,26,13,16,22,6,21,20
2025,NO,6,11,0,0.353,306,383,-77,4027,1615,5642,19,9,23,20,-3,22,11
2025,WAS,5,12,0,0.294,356,451,-95,3329,2302,5631,19,20,21,9,-12,23,32
2025,PHI,11,6,0,0.647,379,325,54,3498,2007,5505,26,17,13,20,7,24,13
2025,PIT,10,7,0,0.588,397,387,10,3632,1764,5396,26,16,14,25,11,25,28
2025,MIA,7,10,0,0.412,347,424,-77,3322,2051,5373,23,14,23,18,-5,26,21
2025,CAR,8,9,0,0.471,311,380,-69,3304,1998,5302,24,9,22,19,-3,27,15
2025,MIN,9,8,0,0.529,344,333,11,3208,1856,5064,18,15,28,20,-8,28,3
2025,NYJ,3,14,0,0.176,300,503,-203,2784,2102,4886,15,11,21,3,-18,29,25
2025,TEN,3,14,0,0.176,284,478,-194,3241,1599,4840,15,9,19,12,-7,30,22
2025,CLE,5,12,0,0.294,279,379,-100,3152,1653,4805,16,10,24,16,-8,31,7
2025,LV,3,14,0,0.176,241,432,-191,3315,1323,4638,20,5,22,16,-6,32,14
