Season,Team,Wins,Losses,Ties,Win_Percentage,Points_For,Points_Against,Point_Differential,Passing_Yards,Rushing_Yards,Total_Offense_Yards,Passing_TDs,Rushing_TDs,Turnovers,Takeaways,Turnover_Differential,Offensive_Rank,Defensive_Rank
2024,BAL,12,5,0,0.706,518,361,157,4189,3198,7387,41,21,11,17,6,1,13
2024,DET,15,2,0,0.882,564,342,222,4718,2507,7225,39,29,15,24,9,2,20
2024,TB,10,7,0,0.588,502,385,117,4505,2548,7053,41,16,23,16,-7,3,23
2024,SF,6,11,0,0.353,389,436,-47,4424,2171,6595,23,17,24,16,-8,4,4
2024,PHI,14,3,0,0.824,463,303,160,3517,3072,6589,24,29,12,25,13,5,1
2024,WAS,12,5,0,0.706,485,391,94,3932,2632,6564,29,25,14,15,1,6,12
2024,ATL,8,9,0,0.471,389,423,-34,4283,2242,6525,21,18,23,17,-6,7,19
2024,CIN,9,8,0,0.529,472,434,38,4918,1587,6505,43,11,19,23,4,8,24
2024,GB,11,6,0,0.647,460,338,122,3939,2507,6446,28,23,18,29,11,9,5
2024,ARI,8,9,0,0.471,400,379,21,3859,2462,6321,21,18,21,16,-5,10,21
2024,MIN,14,3,0,0.824,432,332,100,4379,1878,6257,35,9,20,31,11,11,17
2024,BUF,13,4,0,0.765,525,368,157,3938,2249,6187,30,32,8,30,22,12,18
2024,SEA,10,7,0,0.588,375,368,7,4379,1641,6020,21,17,19,18,-1,13,16
2024,IND,8,9,0,0.471,377,427,-50,3599,2330,5929,20,20,29,25,-4,14,28
2024,LA,10,7,0,0.588,367,386,-19,4096,1783,5879,22,15,14,19,5,15,27
2024,HOU,10,7,0,0.588,372,372,0,3952,1920,5872,20,15,18,27,9,16,7
2024,KC,15,2,0,0.882,385,326,59,4046,1822,5868,26,15,14,19,5,17,8
2024,MIA,8,9,0,0.471,345,364,-19,4036,1801,5837,22,12,19,16,-3,18,3
2024,LAC,11,6,0,0.647,402,301,101,3901,1917,5818,23,17,8,22,14,19,9
2024,DAL,7,10,0,0.412,350,468,-118,4092,1716,5808,23,6,27,21,-6,20,29
2024,PIT,10,7,0,0.588,380,347,33,3607,2180,5787,21,14,16,29,13,21,11
2024,DEN,10,7,0,0.588,425,311,114,3808,1929,5737,30,12,19,24,5,22,10
2024,NO,5,12,0,0.294,338,398,-60,3730,1963,5693,21,15,17,17,0,23,30
2024,NYJ,5,12,0,0.294,338,404,-66,4016,1565,5581,31,8,18,15,-3,24,6
2024,CLE,3,14,0,0.176,258,435,-177,3879,1613,5492,19,8,32,11,-21,25,22
2024,LV,4,13,0,0.235,309,434,-125,4117,1374,5491,19,10,29,13,-16,26,14
2024,TEN,3,14,0,0.176,311,460,-149,3621,1858,5479,22,11,32,16,-16,27,2
2024,JAX,4,13,0,0.235,320,435,-115,3717,1737,5454,19,13,23,8,-15,28,31
2024,NYG,3,14,0,0.176,273,415,-142,3521,1799,5320,15,13,22,15,-7,29,25
2024,NE,4,13,0,0.235,289,417,-128,3343,1976,5319,18,11,23,9,-14,30,15
2024,CHI,5,12,0,0.294,310,370,-60,3552,1747,5299,20,13,14,24,10,31,26
2024,CAR,5,12,0,0.294,341,534,-193,3411,1888,5299,22,18,22,16,-6,31,32
